"result id","user id","participant name","source","partner study id","partner id","response date (utc)","test duration","status","device","OS","¿Cuál es tu género?","¿Cuál es tu fecha de nacimiento?","¿Qué producto crees que promociona la imagen del siguiente anuncio?","¿Qué producto crees que promociona la imagen del siguiente anuncio? 1","¿Qué producto crees que promociona la imagen del siguiente anuncio? 2","En tus propias palabras, menciona qué es una AFORE","¿Qué AFORE te da más confianza? 
Escoge máximo 3 ","¿Por qué?","Mira el siguiente anuncio por 5 segundos, despues responde la pregunta.","¿Qué te comunica el anuncio anterior?","¿Qué tanto conectó contigo? (out of 5)","Mira el siguiente anuncio por 5 segundos, despues responde la pregunta. 1","¿Qué te comunica el anuncio anterior? 1","¿Qué tanto conectó contigo? (out of 5) 1","Mira el siguiente anuncio por 5 segundos, despues responde la pregunta. 2","¿Qué te comunica el anuncio anterior? 2","¿Qué tanto conectó contigo? (out of 5) 2","Mira el siguiente anuncio por 10 segundos, despues responde la pregunta.","¿Qué te comunica el anuncio anterior? 3","¿Qué tanto conectó contigo? (out of 5) 3","Mira el siguiente anuncio por 10 segundos, despues responde la pregunta. 1","¿Qué te comunica el anuncio anterior? 4","¿Qué tanto conectó contigo? (out of 5) 4","Mira el siguiente anuncio por 10 segundos, despues responde la pregunta. 2","¿Qué te comunica el anuncio anterior? 5","¿Qué tanto conectó contigo? (out of 5) 5","Mira el siguiente anuncio por 10 segundos, despues responde la pregunta. 3","¿Qué te comunica el anuncio anterior? 6","¿Qué tanto conectó contigo? (out of 5) 6","Mira el siguiente anuncio por 10 segundos, despues responde la pregunta. 4","¿Qué te comunica el anuncio anterior? 7","¿Qué tanto conectó contigo? (out of 5) 7","¿Cuáles son las 3 palabras con las que describirías Afore Azteca?"
1511262,53,"Participant-SD976","","","","2026-06-17 19:56:18","0:08:57","COMPLETED","Mobile","K - Android (10)","Hombre ","2003-04-08","Dentífrico, dermatológico. Destaca la sonrisa y la piel.","Viajes, automóviles. Es muy descriptiva.","Cuenta bancaria, aplicación para pagar en línea. Relaciona tecnología y dinero.","Plan de retiro.","image4:choice1|image1:choice2|image3:choice3","Son del gobierno o de empresas con gran reconocimiento.","Yes","Busca transmitir felicidad.",4,"Yes","Que es importante hacerlo pronto.",2,"Yes","Que tendrás beneficios.",3,"Yes","Inseguridad por tu AFORE actual.",2,"Yes","Genera deseo.",5,"Yes","Felicidad.",5,"Yes","Busca que pienses en ti mismo en el futuro.",3,"Yes","Seguridad.",2,"Identidad, seguridad, confianza."
1511252,51,"Participant-4386J","","","","2026-06-17 19:50:56","0:07:40","COMPLETED","Mobile","K - Android (10)","Hombre ","2005-06-21","Pasta de dientes ","UN VIAJE Y POR QUE ESTAN EN UN PAISAJE 
","Un casino por las monedas","Un ahorro para el futuro ","image9:choice1","Por referencias ","Yes","Una apertura de afore ",4,"Yes","que puedes empezar a ahorrar por tu futuro
",2,"Yes","que puedes empezar con la cantidad mínima ",5,"Yes","Que tú puedes escoger el afore en cualquier momento ",4,"Yes","Que en cualquier monto puedes considerar abrirun afore",3,"Yes","Que el afore es necesario para el futuro ",4,"Yes","Que puedes gestionar tu afore donde sea y hay muchos lugares ",5,"Yes","Que no solo puedes ahorrar para viajar también para tener vida cómoda ",5,"CRECIMIENTO FINANCIERO 
"
1511218,50,"Participant-QY3FR","","","","2026-06-17 19:31:11","0:12:29","COMPLETED","Mobile","K - Android (10)","Hombre ","2000-09-25","Un rastrillo o maquina para afeitar ","Podría ser un plan de retiro, vacaciones o ahorro, lo pienso así por las dos personas mayores que están felices como si estuvieran disfrutando de unas vacaciones ","Podría ser algo sobre inversiones o apuestas, por las monedas de oro que normalmente se ocupan en los anuncio de apuestas o por los bitcoins en el caso de las inversiones ","No sabría decir que es, lo eh escuchado pero no eh investigado, sin embargo pienso en el afore como un ahorro o algo por el estilo para cuando seas mayor y no puedas trabajar ","image1:choice1|image3:choice2","Son bancos de los cuales tengo buenas reseñas por parte de mis padres o familiares ","Yes","Un plan de ahorro del banco",3,"Yes","Un plan de ahorro para tu retiro",3,"Yes","Un plan de ahorro para tu retiro, para que sea a los 65",4,"Yes","Sobre que el primer trabajo no define tu futuro",4,"Yes","Un ahorro de tus sueldo desde 50 para cuando te retires tener tu guardado ",4,"Yes","Un plan sencillo de ahorro que te ayudará en el futuro que puedes empezar desde hoy ",4,"Yes","Seguridad y confianza para  pasar el afore",4,"Yes","La facilidad de iniciar el afore y la Mejor opción que puede ser un negocio propio ",5,"Seguro, confiable, variedad"
1511214,49,"Participant-CPK0S","","","","2026-06-17 19:30:39","0:12:02","COMPLETED","Mobile","K - Android (10)","Mujer ","1978-04-28","Dentista ","Descanso","Libertad financiera ","Ahorro para el retiro ","image5:choice1","Por el nombre ","Yes","Las letras las siento saturadas  y el color se confunde con la cara ",3,"Yes","Me da confianza y de ahorrar desde joven ",5,"Yes","Confianza para personas mayores ",5,"Yes","Muy confuso entre tanta letra y foto ",1,"Yes","Conciencia de comenzar a ahorrar por 50 , que es más fácil ",5,"Yes","Nunca es tarde ",5,"Yes","Comunicación ",3,"Yes","Seguir tus sueños aunque seas mayor ",5,"Igual, retiro, dinero "
1511207,48,"Participant-VMVO4","","","","2026-06-17 19:26:42","0:16:53","COMPLETED","Mobile","iPhone - iOS (18.7)","Mujer ","2003-12-07","Pasta dental","Carro, porque se ve muy bien el auto y las personas se ven felices al estar con él","Inversiones, porque aparece un botón en el celular y monedas alrededor ","Una institución que administra e invierte el dinero que uno da para que al final de la vida laboral se otorguen esos fondos","image5:choice1|image4:choice2|image3:choice3","Profuturo es el que más he visto y el que más confianza me da, ISSSTE porque es en el que estoy e Inbursa porque igual tiene buena reputación","Yes","Para solicitar el afore en banco azteca, la persona se ve feliz ",2,"Yes","Que entre más pronto empieces, mejor será el retiro, además de que el reloj pareciera decir que corre rápido el tiempo",4,"Yes","Que con poco dinero puedes retírate a buena edad como lo son los 65 años, con calidad de vida y un buen carro",4,"Yes","Que no se esforzaron en el diseño y que cada uno puede decidir en qué afore se registra ",1,"Yes","Que con poco puedes comenzar a ahorrar para tu retiro",2,"Yes","Que el mejor día para comenzar el ahorro es hoy",3,"Yes","Las sucursales están más cerca de lo que uno puede llegar a pensar, entonces no es una excusa no ir a revisar tu afore",2,"Yes","Me gusta porque no dice que el retiro significa dejar de ser productivo, te ayuda a emprender y te da una mejor visión de lo que es el retiro ",4,"Incierto, grande, bueno"
1511178,47,"Participant-FAXBZ","","","","2026-06-17 19:10:55","0:09:57","COMPLETED","Mobile","iPhone - iOS (26.5.0)","Mujer ","1994-08-21","Una pasta 
Por la sonrisa y los dientes 
","Seguros 
Por el carro ","El celular 
Venta de telefonía

","Ahorros","image1:choice1","Más segura","Yes","Una afore ",5,"Yes","Un anuncio sobre un afire",5,"Yes","Un afore ",5,"Yes","Un ahorro ",5,"Yes","Ahorrar ",5,"Yes","Cambiar de afore ",5,"Yes","Disponibilidad ",5,"Yes","Afore",5,"Fin"
1511176,45,"Participant-F604N","","","","2026-06-17 19:10:31","","INCOMPLETE","Mobile","K - Android (10)","Mujer ","1994-08-21","Una pasta 
","Por los dientes 

","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1511172,44,"Participant-HWBN6","","","","2026-06-17 19:08:16","0:19:25","COMPLETED","Mobile","K - Android (10)","Mujer ","1994-06-08","Colgate por la sonrisa","Chevrolet por el auto ","Pago con tarjeta ","El aforé es un tipo de apoyo para la vejez va incrementado tu dinero de un trabajador ","image3:choice1|image6:choice2","Son mejor para ir incrementado tu dinero 
","Yes","Te proporciona un aforé y mejor incremento 
",3,"Yes","Que tienes mejor beneficio antes delos 60
",5,"Yes","Que tienes la oportunidad de Aser tu mismo tu dinero para el retiro ",5,"Yes","Que puedes cambiar de aforé facil y rápido ",3,"Yes","Que puedes incrementar tu aforé todos los dias",5,"Yes","Que no debo esperar asta 10 años para poder Aser lo del afore",5,"Yes","Que puedo acudir a cualquier sucursal y rápido puedo disponer de mi dinero ",5,"Yes","Que puedo acudir rápido a cualquier sucursal ",5,"Que es rápido y seguro "
1511149,42,"Participant-O0ZBQ","","","","2026-06-17 18:54:04","0:08:56","COMPLETED","Mobile","K - Android (10)","Hombre ","1991-12-06","Pasta de dientes por la sonrisa","Un auto por el vehículo que tiene atrás las personas y es muy llamativo ","Alguna financiera porque está el dinero en el aire ","Un medio financiero que cuida tú dinero para el ahorro de tú pensión ","image4:choice1|image6:choice2|image1:choice3","Porque tengo una de esas y son las de mejor rendimiento en la lista de afores ","Yes","Afore Azteca ",3,"Yes","Presión de tiempo por el reloj",2,"Yes","Sueños cumplidos ",5,"Yes","Desesperanza ",2,"Yes","Qué ahorrar aunque sea con poco te traes benéficos a futuro ",4,"Yes","Tranquilidad y se ve elegante ",4,"Yes","Confianza ",4,"Yes","Que se puede emprender con poco y tener grandes ganancias a futuro",4,"Seguridad, estrategia y objetivos "
1511147,41,"Participant-23BRZ","","","","2026-06-17 18:52:53","0:08:20","COMPLETED","Mobile","K - Android (10)","Hombre ","1992-01-17","Alcohol ","Seguros","Prestamos personales, por el teléfono en la mano la persona feliz y las monedas ","Ahorro para el retiro o vejez ","image6:choice1|image1:choice2|image5:choice3","Familiares con esos Afores ","Yes","No me comunica gran cosa más que el mensaje de promoción de Afores ",1,"Yes","Anuncio de ahorro, me comunica satisfacción del cliente ",3,"Yes","Me comunica un poco más de confianza y coherencia con lo que se está promocionando ",4,"Yes","Incertidumbre ",2,"Yes","Esta un poco extraño ejeje ",2,"Yes","Satisfacción, seguridad ",4,"Yes","Confianza familiaridad ",4,"Yes","Prosperidad y esperanza, me gustó ",5,"Un poco de desconfianza "
