"result id","user id","participant name","source","partner study id","partner id","response date (utc)","test duration","status","device","OS","¿Cuál es tu género?","¿Cuál es tu fecha de nacimiento?","¿Qué producto crees que promociona la imagen del siguiente anuncio?","¿Qué producto crees que promociona la imagen del siguiente anuncio? 1","¿Qué producto crees que promociona la imagen del siguiente anuncio? 2","En tus propias palabras, menciona qué es una AFORE","¿Qué AFORE te da más confianza? 
Escoge máximo 3 ","¿Por qué?","Mira el siguiente anuncio por 5 segundos, despues responde la pregunta.","¿Qué te comunica el anuncio anterior?","¿Qué tanto conectó contigo? (out of 5)","Mira el siguiente anuncio por 5 segundos, despues responde la pregunta. 1","¿Qué te comunica el anuncio anterior? 1","¿Qué tanto conectó contigo? (out of 5) 1","Mira el siguiente anuncio por 5 segundos, despues responde la pregunta. 2","¿Qué te comunica el anuncio anterior? 2","¿Qué tanto conectó contigo? (out of 5) 2","Mira el siguiente anuncio por 10 segundos, despues responde la pregunta.","¿Qué te comunica el anuncio anterior? 3","¿Qué tanto conectó contigo? (out of 5) 3","Mira el siguiente anuncio por 10 segundos, despues responde la pregunta. 1","¿Qué te comunica el anuncio anterior? 4","¿Qué tanto conectó contigo? (out of 5) 4","Mira el siguiente anuncio por 10 segundos, despues responde la pregunta. 2","¿Qué te comunica el anuncio anterior? 5","¿Qué tanto conectó contigo? (out of 5) 5","Mira el siguiente anuncio por 10 segundos, despues responde la pregunta. 3","¿Qué te comunica el anuncio anterior? 6","¿Qué tanto conectó contigo? (out of 5) 6","Mira el siguiente anuncio por 10 segundos, despues responde la pregunta. 4","¿Qué te comunica el anuncio anterior? 7","¿Qué tanto conectó contigo? (out of 5) 7","¿Cuáles son las 3 palabras con las que describirías Afore Azteca?"
"1334293","44","Participant-RESJ8","","","","2026-06-05 00:04:19","0:09:39","COMPLETED","Mobile","K - Android (10)","Hombre ","1984-10-02","Dental ","Venta Automotriz ","Aplicaciones de juegos ","Es un fondo para el retiró ","image2:choice1","Un banco confiable ","Yes","Estafa por el banco ","1","Yes","Más seguridad","3","Yes","Inseguridad ","2","Yes","Inseguridad ","1","Yes","Tranquiladad","3","Yes","Cuestionamientos ","4","Yes","Tranquilidad ","3","Yes","Expectativas ","3","Inseguridad, estafa, fraude"
"1334292","43","Participant-CEP7V","","","","2026-06-05 00:04:18","","INCOMPLETE","Mobile","K - Android (10)","Hombre ","2006-06-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1334282","42","Participant-J1M61","","","","2026-06-04 23:31:38","0:58:50","COMPLETED","Desktop","Chrome - Windows (10)","Mujer ","1973-03-05","pasta de dientes","autos
","celulares","ES UN FONDO DE AHORRO PARA EL RETIRO, PARA LA VEJEZ","image6:choice1|image2:choice2|image8:choice3","UNA DE ELLAS ES PORQUE SE DEDICA TOTALMENTE A LAS AFORES Y LAS OTRAS 2 SON MAS CONOCIDAS","Yes","QUE SE SIENTE CONFIADO ES POR ESO ESA SONRISA","4","Yes","QUE NO TIENES QUE ESPERAR A QUE LLEGUES A CIERTA EDAD PARA PODER AHORRAR, QUE PUEDES DESDE YA","4","Yes","QUE TE DA TRANQUILIDAD Y QUE PUEDES AHORRAR SIN ESTAR ESTRESADO PAGANDO MODALIDADES TAN ALTAS ","5","Yes","LA PREOCUPACION DE TENER QUE AHORRAR PARA EL FUTURO","3","Yes","QUE NO TIENE QUE ESTAR UNO ESTRESADO ","2","Yes","QUE NO SE TIENE UNO QUE PREOCUPAR UNOS AÑOS ANTES, QUE PUEDES AHORRAR DESDE YA","4","Yes","QUE TE CAMBIES DE AFORE","2","Yes","LA FELICIDAD DE SER INDEPENDIENTE","4","CONFIANZA, SEGURIDAD,TRANQUILIDAD"
"1334264","40","Participant-5T6IK","","","","2026-06-04 23:08:57","0:08:48","COMPLETED","Mobile","iPhone - iOS (18.7)","Hombre ","2004-05-20","PRODUCTOS DE LIMPIEZA","AUTOMOVILES","APP DE PRÉSTAMOS ","Un ahorro que sirve en forma de cuenta individual que me dará una cantidad de dinero cuando tenga una edad avanzada ","image6:choice1|image1:choice2|image9:choice3","Son los bancos que conozco más y en mi experiencia han sido confiables ","Yes","LA PROMOCIÓN DEL AFORE DE BANCO AZTECA ","2","Yes","LA PROMOCIÓN DE UN AFORE ","4","Yes","UN AFORE PERO CON MÁS CONFIANZA, CLARIDAD Y SENCILLEZ ","5","Yes","MUY COMPLEJO Y NO CON CLARIDAD","1","Yes","QUE NO CORRESPONDE LA IMAGEN CON EL AHORRO ","1","Yes","FUE MAS CLARO EN LA PROMOCIÓN Y FUNCIÓN DEL AFORE ","4","Yes","UN ANUNCIO MÁS CONVENCIONAL, CONFIANZA Y FORMALIDAD DE UN BANCO ","3","Yes","MÁS ENTENDIBLE, EMPÁTICO","4","CUALQUIER LUGAR, SENCILLO, AUSTERO"
"1334257","39","Participant-BS27V","","","","2026-06-04 22:51:54","","INCOMPLETE","Desktop","Chrome - Windows (10)","Mujer ","1992-02-06","felicidad","confort","emocion
","administrar y proteger mi dinero ","image5:choice1|image7:choice2|image2:choice3","me gusta el rendimeinto","Yes","confianza, felicidad ","5","Yes","atractivo","5","Yes","interesante","5","Yes","informativo","5","Yes","delicadeza","5","Yes","me gusto mucho","5","Yes","","","","","",""
"1334251","38","Participant-B9TD3","","","","2026-06-04 22:43:51","0:10:00","COMPLETED","Mobile","K - Android (10)","Hombre ","1998-02-07","Pasta dental, por la sonrisa en el rostro ","Un automóvil ya que se suele utilizar escenarios así con viajes y mostrando hasta donde te llevaría un nuevo vehículo ","Apuestas deportivas, casinos en línea ","Administradora de Fondos para el Retiro
","image9:choice1","Rendimiento ","Yes","Nada ","1","Yes","Dinero ","1","Yes","Viajes ","1","Yes","Nada","1","Yes","Que se puede ahorrar con poco dinero ","1","Yes","La importancia de ahorrar desde ahora ","1","Yes","Nada ","1","Yes","El poder emprender un negocio ","1","Desconocido, impredecible, inseguro "
"1334239","36","Participant-388CA","","","","2026-06-04 22:24:14","","INCOMPLETE","Mobile","iPhone - iOS (18.7)","Hombre ","2002-09-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1334237","35","Participant-8Y8BL","","","","2026-06-04 22:22:23","","INCOMPLETE","Desktop","Chrome - Windows (10)","Mujer ","1985-04-30","PASTA DENTAL O CEPILLOS DE DIENTES","AUTOS","UNA APP PARA MANEJAR DINERO","ADMINISTRACION DE FONDOS PARA EL RETIRO","image8:choice1|image5:choice2|image3:choice3","PORQUE SON EMPRESAS FUERTES Y CONFIABLES","Yes","A PUES QUE ES UN ANUNCIO DE AFORES","3","Yes","QUE ES HORA DE EMPEZAR A AHORRAR INDEPENDIENTEMENTE DE LA EDAD QUE TENGAS","4","Yes","QUE DA TRANQUILIDAD TENER AHORROS","4","Yes","QUE NO IMPORTA EN QUE AFORE TE DIO DE ALTA TU EMPRESA, TE PUEDES CAMBIAR","3","Yes","QUE PUEDES AHORRAR LO QUE SEA, NO TIENE QUE SER MUCHISIMO","5","Yes","QUE YA ESTAS TARDE, QUE AHORRES ","4","Yes","QUE AHORRE","3","Yes","","",""
"1334234","34","Participant-KYYG9","","","","2026-06-04 22:16:42","0:06:51","COMPLETED","Mobile","iPhone - iOS (18.7)","Mujer ","1986-11-08","Felicidad","Auto","Casino","Ahorro para el retiro","image8:choice1","Mejor rendimiento","Yes","Felicidad","4","Yes","Prevención ","4","Yes","Ventas","3","Yes","Cambio","4","Yes","Ahorro","4","Yes","Prevención","4","Yes","Ahorro","4","Yes","Retiro","4","No la conozco"
"1334233","33","Participant-UQYNS","","","","2026-06-04 22:16:18","0:05:33","COMPLETED","Desktop","Chrome - Windows (10)","Mujer ","1982-05-07","pasta de dientes","auto","app","ahorro para el retiro","image5:choice1","es donde tengo mi afore","Yes","seguridad","2","Yes","prevención","1","Yes","accesibilidad","1","Yes","accesibilidad","1","Yes","facilidad","2","Yes","oportunidad","2","Yes","seguridad","2","Yes","oportunidad","2","accesibilidad, facilidad, popular"
"1334231","32","Participant-Y7BBE","","","","2026-06-04 22:13:28","0:07:06","COMPLETED","Mobile","iPhone - iOS (18.7)","Hombre ","1972-04-28","Tinte para canas","Auto","Electrónica ","Fondo de ahorro para el rwriro","image7:choice1|image1:choice2|image8:choice3","Se ven sólidas financieramente ","Yes","Tranquilidad","3","Yes","Previsión ","3","Yes","Ahorro","3","Yes","Nada","1","Yes","Ahorro para el retiro ","3","Yes","Conciencia","5","Yes","Nada ","3","Yes","Muy alentador ","5","No la conozco "
"1334224","29","Participant-5D331","","","","2026-06-04 22:04:33","0:12:31","COMPLETED","Mobile","K - Android (10)","Mujer ","1989-11-09","Pasta de dientes ","Auto","Casino","Un ahorro para el retiro ","image8:choice1|image5:choice2|image2:choice3","Tiene. Los mejores comentarios ","Yes","Felicidad","3","Yes","Ayuda","4","Yes","Seguridad","4","Yes","Mala imagen ","1","Yes","Solvente ","1","Yes","Confianza","3","Yes","Seguridad","3","Yes","Tranquilidad","3","Intranquila, incertidumbre, pendiente"
